OID_,Status,Score,X,Y,USER_Ward,USER_Precinct,USER_Location2,USER_Location3,Match_addr,USER_City,USER_State,USER_ZipCode,USER_Voting_Roo,USER_HP_Entrance,shape_wkt,POINT_X,POINT_Y
27,M,96.709999999999994,-71.054413798756158,42.365290831013255,3.000000000000000,2,NAZZARO COMMUNITY CENTER ,30 NORTH BENNETT STREET,"30 North Bennet Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN COMMUNITY ROOM,HP ENTRANCE LEFT SIDE OF BUILDING,POINT (-71.054413798999974 42.365290831000038),-71.054413798999974,42.365290831000038
28,M,99.709999999999994,-71.068829368128462,42.341591992903432,3.000000000000000,7,CATHEDRAL HIGH SCHOOL GYMNASIUM ,1336 WASHINGTON STREET,"1336 Washington St, Boston, Massachusetts, 02118",BOSTON,MA,02118,,VOTER ENTRANCE RIGHT SIDE OF BUILDING ON UNION PARK STREET,POINT (-71.068829367999967 42.341591993000065),-71.068829367999967,42.341591993000065
29,M,99.640000000000001,-71.058141147279244,42.360117352735301,3.000000000000000,6,CITY HALL ,1 CITY HALL PLAZA,"1 City Hall Plaza, Boston, Massachusetts, 02201",BOSTON,MA,02201,VOTE IN HALLWAY BY CREDIT UNION,VOTER ENTRANCE NORTH SIDE OF BUILDING,POINT (-71.058141146999958 42.360117353000078),-71.058141146999958,42.360117353000078
30,M,97.409999999999997,-71.065641190421601,42.365637338890537,3.000000000000000,5,AMY LOWELL HOUSE,65 MARTHA ROAD,"65 Martha Road, Boston, Massachusetts, 02114",BOSTON,MA,020114,VOTE IN COMMUNITY ROOM,CHARLES RIVER PARK RESIDENTS VOTER ENTRANCE REAR FUNCTION ROOM,POINT (-71.065641189999951 42.365637339000045),-71.065641189999951,42.365637339000045
31,M,99.760000000000005,-71.065342207935331,42.363126330246729,3.000000000000000,9,SAINT JOSEPH PARISH,68 WILLIAM CARDINAL O'CONNELL WAY,"68 William Cardinal O'Connell Way, Boston, Massachusetts, 02114",BOSTON,MA,02114,VOTE IN LOWER HALL,VOTER ENTRANCE LEFT SIDE OF BUILDING,POINT (-71.065342207999947 42.363126330000057),-71.065342207999947,42.363126330000057
32,M,99.159999999999997,-71.065149172705205,42.348766621364632,3.000000000000000,8,WANG YMCA OF CHINATOWN ,8 OAK STREET WEST,"8 Oak Street West, Boston, Massachusetts, 02116",BOSTON,MA,02111,VOTE IN GYMNASIUM,,POINT (-71.065149172999952 42.348766621000038),-71.065149172999952,42.348766621000038
33,M,99.290000000000006,-71.058589746737198,42.354688687415177,3.000000000000000,12,SAINT ANTHONY SHRINE , 100 ARCH STREET,"100 Arch Street, Boston, Massachusetts, 02110",BOSTON,MA,02110,VOTE IN DOWNSTAIRS AUDITORIUM,HP ENTRANCE RIGHT OF THE MAIN ENTRANCE,POINT (-71.058589746999985 42.354688687000078),-71.058589746999985,42.354688687000078
34,M,99.290000000000006,-71.058589746737198,42.354688687415177,3.000000000000000,13,SAINT ANTHONY SHRINE , 100 ARCH STREET,"100 Arch Street, Boston, Massachusetts, 02110",BOSTON,MA,02110,VOTE IN DOWNSTAIRS AUDITORIUM,HP ENTRANCE RIGHT OF THE MAIN ENTRANCE,POINT (-71.058589746999985 42.354688687000078),-71.058589746999985,42.354688687000078
35,M,99.310000000000002,-71.058141147279244,42.360117352735301,3.000000000000000,10,CITY HALL ,1 CITY HALL PLAZA,"1 City Hall Plaza, Boston, Massachusetts, 02201",BOSTON,MA,02201,VOTE IN HALLWAY BY CREDIT UNION,VOTER ENTRANCE NORTH SIDE OF BUILDING,POINT (-71.058141146999958 42.360117353000078),-71.058141146999958,42.360117353000078
36,M,99.349999999999994,-71.065701204848338,42.346257331011003,3.000000000000000,15,BOSTON CHINESE EVANGELICAL CHURCH ,120 SHAWMUT AVENUE,"120 Shawmut Avenue, Boston, Massachusetts, 02118",BOSTON,MA,02118,,,POINT (-71.065701204999982 42.346257331000061),-71.065701204999982,42.346257331000061
37,M,99.310000000000002,-71.065321169358356,42.359457361679262,3.000000000000000,17,BEACON HOUSE ,19 MYRTLE STREET,"19 Myrtle Street, Boston, Massachusetts, 02114",BOSTON,MA,02114,,,POINT (-71.065321168999958 42.359457362000057),-71.065321168999958,42.359457362000057
38,M,96.450000000000003,-71.054413798756158,42.365290831013255,3.000000000000000,11,NAZZARO COMMUNITY CENTER ,30 NORTH BENNETT STREET,"30 North Bennet Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN COMMUNITY ROOM,HP ENTRANCE LEFT SIDE OF BUILDING,POINT (-71.054413798999974 42.365290831000038),-71.054413798999974,42.365290831000038
39,M,99.430000000000007,-71.068829368128462,42.341591992903432,3.000000000000000,16,CATHEDRAL HIGH SCHOOL GYMNASIUM ,1336 WASHINGTON STREET,"1336 Washington St, Boston, Massachusetts, 02118",BOSTON,MA,02118,,VOTER ENTRANCE RIGHT SIDE OF BUILDING ON UNION PARK STREET,POINT (-71.068829367999967 42.341591993000065),-71.068829367999967,42.341591993000065
40,M,98.829999999999998,-71.065149172705205,42.348766621364632,3.000000000000000,14,WANG YMCA OF CHINATOWN ,8 OAK STREET WEST,"8 Oak Street West, Boston, Massachusetts, 02116",BOSTON,MA,02111,VOTE IN GYMNASIUM,,POINT (-71.065149172999952 42.348766621000038),-71.065149172999952,42.348766621000038
41,M,99.670000000000002,-71.071388158514807,42.344716360021721,4.000000000000000,1,CYCLORAMA , 539 TREMONT STREET,"539 Tremont Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,,HP ENTRANCE TO THE RIGHT OF THE MAIN ENTRANCE,POINT (-71.07138815899998 42.344716360000064),-71.071388158999980,42.344716360000064
